Admin1,county,Source,SourceDoc,Admin0,Year,Crop,Area,Yield,MT,ID,west1
Central,Kiambu,MOA,AgroMOA,,1972,Maize,18718,2.24,41966,1,1
Central,Kiambu,MOA,AgroMOA,,1974,Maize,26977,1.85,49999,1,1
Central,Kiambu,MOA,AgroMOA,,1975,Maize,21884,1.8,39391,1,1
Central,Kiambu,MOA,AgroMOA,,1976,Maize,18227,1.05,19205,1,1
Central,Kiambu,MOA,AgroMOA,,1977,Maize,17028,1.8,30650,1,1
Central,Kiambu,MOA,AgroMOA,,1978,Maize,16896,1.8,30410,1,1
Central,Kiambu,MOA,AgroMOA,,1979,Maize,18700,2.17,40500,1,1
Central,Kiambu,MOA,AgroMOA,,1980,Maize,19000,3.32,63000,1,1
Central,Kiambu,MOA,AgroMOA,,1981,Maize,21000,2.8,58800,1,1
Central,Kiambu,MOA,AgroMOA,,1982,Maize,21000,2.7,56700,1,1
Central,Kiambu,MOA,AgroMOA,,1983,Maize,37000,1.62,59940,1,1
Central,Kiambu,MOA,AgroMOA,,1984,Maize,19813,2.3,45579,1,1
Central,Kiambu,MOA,AgroMOA,,1985,Maize,30584,2.5,76460,1,1
Central,Kiambu,MOA,AgroMOA,,1986,Maize,26457,2.5,66130,1,1
Central,Kiambu,MOA,AgroMOA,,1987,Maize,25207,1.04,26257,1,1
Central,Kiambu,MOA,AgroMOA,,1988,Maize,15709,1.7,26705,1,1
Central,Kiambu,MOA,AgroMOA,,1989,Maize,25702,1.16,29784,1,1
Central,Kiambu,MOA,AgroMOA,,1990,Maize,26100,1.2,31320,1,1
Central,Kiambu,MOA,AgroMOA,,1991,Maize,34860,1.2,41790.15,1,1
Central,Kiambu,MOA,AgroMOA,,1992,Maize,27005,1.28,34638.75,1,1
Central,Kiambu,MOA,AgroMOA,,1993,Maize,26286,0.7,18370.62,1,1
Central,Kiambu,MOA,AgroMOA,,1994,Maize,27404,1.8,49327,1,1
Central,Kiambu,MOA,AgroMOA,,1995,Maize,23600,1.38,32580,1,1
Central,Kiambu,MOA,AgroMOA,,1996,Maize,14764,1.39,20463,1,1
Central,Kiambu,MOALP,AgroMOALP,,1997,Maize,17213,1.53,26335.89,1,1
Central,Kiambu,MOALP,AgroMOALP,,1998,Maize,17706,0.73,12915,1,1
Central,Kiambu,MOALP,AgroMOALP,,1999,Maize,14664,0.81,11843.28,1,1
Central,Kiambu,MOALP,AgroMOALP,,2000,Maize,14740,0.78,11438.1,1,1
Central,Kiambu,MOALP,AgroMOALP,,2001,Maize,16500,0.78,12789,1,1
Central,Kiambu,MoALF,Spreadsheet,,2002,Maize,18750,1.36,25408,1,1
Central,Kiambu,MoALF,Spreadsheet,,2003,Maize,21200,1.35,28620,1,1
Central,Kiambu,MoALF,Spreadsheet,,2004,Maize,14664,0.81,11844,1,1
Central,Kiambu,MoALF,Spreadsheet,,2005,Maize,22140,1.34,29599,1,1
Central,Kiambu,MoALF,Spreadsheet,,2006,Maize,23391,1.27,29660,1,1
Central,Kiambu,MoALF,Spreadsheet,,2007,Maize,26293.3,0.67,17616.51,1,1
Central,Kiambu,MoALF,Spreadsheet,,2008,Maize,30603,0.78,23976.9,1,1
Central,Kiambu,MoALF,Spreadsheet,,2009,Maize,41984,0.48,20000.16,1,1
Central,Kiambu,MoALF,Spreadsheet,,2010,Maize,39523,0.76,30193.29,1,1
Central,Kiambu,MoALF,Spreadsheet,,2011,Maize,45789,0.94,43041.66,1,1
Central,Kiambu,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,44821,1.26,56474.46,1,1
Central,Kiambu,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,43210,1.02,43944.57,1,1
Central,Kiambu,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,24450,0.61,14963.4,1,1
Central,Kirinyaga,MOA,AgroMOA,,1970,Maize,29096,0.55,16003,2,1
Central,Kirinyaga,MOA,AgroMOA,,1971,Maize,25860,0.55,14223,2,1
Central,Kirinyaga,MOA,AgroMOA,,1972,Maize,26720,2.31,61668,2,1
Central,Kirinyaga,MOA,AgroMOA,,1973,Maize,29638,2.25,66685,2,1
Central,Kirinyaga,MOA,AgroMOA,,1974,Maize,21554,2.27,48982,2,1
Central,Kirinyaga,MOA,AgroMOA,,1975,Maize,20187,2.09,42136,2,1
Central,Kirinyaga,MOA,AgroMOA,,1976,Maize,9694,3.92,38020,2,1
Central,Kirinyaga,MOA,AgroMOA,,1977,Maize,17620,2.38,41900,2,1
Central,Kirinyaga,MOA,AgroMOA,,1978,Maize,18800,2.59,48600,2,1
Central,Kirinyaga,MOA,AgroMOA,,1979,Maize,27055,2.02,54775,2,1
Central,Kirinyaga,MOA,AgroMOA,,1980,Maize,32087,1.08,34654,2,1
Central,Kirinyaga,MOA,AgroMOA,,1981,Maize,26633,2.28,60769,2,1
Central,Kirinyaga,MOA,AgroMOA,,1982,Maize,32855,1.57,51746,2,1
Central,Kirinyaga,MOA,AgroMOA,,1983,Maize,28929,1.8,52073,2,1
Central,Kirinyaga,MOA,AgroMOA,,1984,Maize,32046,1.01,32278,2,1
Central,Kirinyaga,MOA,AgroMOA,,1985,Maize,27425,1.33,36475,2,1
Central,Kirinyaga,MOA,AgroMOA,,1986,Maize,33479,1.48,49388,2,1
Central,Kirinyaga,MOA,AgroMOA,,1987,Maize,24832,1.35,33523,2,1
Central,Kirinyaga,MOA,AgroMOA,,1988,Maize,31284,1.8,56310,2,1
Central,Kirinyaga,MOA,AgroMOA,,1989,Maize,29820,1.53,45624,2,1
Central,Kirinyaga,MOA,AgroMOA,,1990,Maize,25980,1.66,43170,2,1
Central,Kirinyaga,MOA,AgroMOA,,1992,Maize,21651,1.35,29228.85,2,1
Central,Kirinyaga,MOA,AgroMOA,,1994,Maize,23896,1.75,41764.32,2,1
Central,Kirinyaga,MOA,AgroMOA,,1995,Maize,25596,1.38,35244.99,2,1
Central,Kirinyaga,MOALP,AgroMOALP,,1997,Maize,25690,1.35,34681.5,2,1
Central,Kirinyaga,MOALP,AgroMOALP,,1998,Maize,24090,1.08,26057.16,2,1
Central,Kirinyaga,MOALP,AgroMOALP,,1999,Maize,25355,0.77,19463.4,2,1
Central,Kirinyaga,MOALP,AgroMOALP,,2000,Maize,23500,0.41,9630,2,1
Central,Kirinyaga,MOALP,AgroMOALP,,2001,Maize,27000,0.72,19440,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2002,Maize,26700,0.98,26193,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2003,Maize,27100,0.91,24552,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2004,Maize,25355,0.77,19465,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2005,Maize,25000,0.8,19892,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2006,Maize,24224,1.3,31503,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2007,Maize,18932,2.28,43075,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2008,Maize,23545,0.35,8217.21,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2009,Maize,31935,1.72,54778.77,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2010,Maize,17530,1.21,21289.5,2,1
Central,Kirinyaga,MoALF,Spreadsheet,,2011,Maize,16730,1.13,18848.25,2,1
Central,Kirinyaga,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,31935,1.71,54608.85,2,1
Central,Kirinyaga,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,40103,1.41,56665.54,2,1
Central,Kirinyaga,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,32992,1.32,43648.42,2,1
Central,Muranga'a,MOA,AgroMOA,,1971,Maize,30431,1.4,42471,4,1
Central,Muranga'a,MOA,AgroMOA,,1972,Maize,50954,1.64,83310,4,1
Central,Muranga'a,MOA,AgroMOA,,1974,Maize,38622,1.51,58324,4,1
Central,Muranga'a,MOA,AgroMOA,,1975,Maize,30702,2.48,76264,4,1
Central,Muranga'a,MOA,AgroMOA,,1976,Maize,28968,2.7,78300,4,1
Central,Muranga'a,MOA,AgroMOA,,1977,Maize,33544,2.25,75492,4,1
Central,Muranga'a,MOA,AgroMOA,,1978,Maize,30038,2.25,67600,4,1
Central,Muranga'a,MOA,AgroMOA,,1979,Maize,23690,1.65,39024,4,1
Central,Muranga'a,MOA,AgroMOA,,1980,Maize,25890,1.51,39193,4,1
Central,Muranga'a,MOA,AgroMOA,,1981,Maize,35000,1.22,42804,4,1
Central,Muranga'a,MOA,AgroMOA,,1982,Maize,38000,1.08,41040,4,1
Central,Muranga'a,MOA,AgroMOA,,1983,Maize,43504,0.9,39154,4,1
Central,Muranga'a,MOA,AgroMOA,,1984,Maize,38022,1.11,42143,4,1
Central,Muranga'a,MOA,AgroMOA,,1985,Maize,47210,1.3,61373,4,1
Central,Muranga'a,MOA,AgroMOA,,1986,Maize,47841,1.53,73197,4,1
Central,Muranga'a,MOA,AgroMOA,,1987,Maize,45860,0.99,45400,4,1
Central,Muranga'a,MOA,AgroMOA,,1988,Maize,46300,1.53,70783,4,1
Central,Muranga'a,MOA,AgroMOA,,1989,Maize,46400,1.7,78880,4,1
Central,Muranga'a,MOA,AgroMOA,,1990,Maize,44800,1.6,71680,4,1
Central,Muranga'a,MOA,AgroMOA,,1991,Maize,45696,1.7,77605.29,4,1
Central,Muranga'a,MOA,AgroMOA,,1992,Maize,37933,1.43,54294.84,4,1
Central,Murang'a,MoALF,Spreadsheet,,1993,Maize,41901,0.81,33940,4,1
Central,Murang'a,MoALF,Spreadsheet,,1994,Maize,47890,1.5,71835,4,1
Central,Muranga'a,MOA,AgroMOA,,1995,Maize,27505,1.32,36185.4,4,1
Central,Murang'a,MoALF,Spreadsheet,,1996,Maize,33000,0.74,24354,4,1
Central,Muranga'a,MOALP,AgroMOALP,,1997,Maize,22450,1.53,34416,4,1
Central,Muranga'a,MOALP,AgroMOALP,,1998,Maize,19000,0.85,16056,4,1
Central,Muranga'a,MOALP,AgroMOALP,,1999,Maize,14800,0.45,6732,4,1
Central,Muranga'a,MOALP,AgroMOALP,,2000,Maize,16130,0.35,5610.6,4,1
Central,Muranga'a,MOALP,AgroMOALP,,2001,Maize,17390,0.73,12609,4,1
Central,Murang'a,MoALF,Spreadsheet,,2002,Maize,27551,1.32,36410,4,1
Central,Murang'a,MoALF,Spreadsheet,,2003,Maize,34548,0.68,23517,4,1
Central,Murang'a,MoALF,Spreadsheet,,2004,Maize,32054,0.48,15235,4,1
Central,Murang'a,MoALF,Spreadsheet,,2005,Maize,25066,0.92,23056,4,1
Central,Murang'a,MoALF,Spreadsheet,,2006,Maize,35100,0.87,30486,4,1
Central,Murang'a,MoALF,Spreadsheet,,2007,Maize,35680,0.88,31230.9,4,1
Central,Murang'a,MoALF,Spreadsheet,,2008,Maize,34425,0.24,8251.02,4,1
Central,Murang'a,MoALF,Spreadsheet,,2009,Maize,50444,0.21,10593.24,4,1
Central,Murang'a,MoALF,Spreadsheet,,2010,Maize,58717,0.85,50151.87,4,1
Central,Murang'a,MoALF,Spreadsheet,,2011,Maize,50900,1.16,58803.57,4,1
Central,Murang'a,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,56654,1.26,71384.04,4,1
Central,Murang'a,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,61416,1.29,79042.39,4,1
Central,Murang'a,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,61543,1.18,72559.2,4,1
Central,Nyandarua,MOA,AgroMOA,,1970,Maize,8700,0.37,3197,5,1
Central,Nyandarua,MOA,AgroMOA,,1971,Maize,6656,0.49,3241,5,1
Central,Nyandarua,MOA,AgroMOA,,1972,Maize,9549,1.11,10580,5,1
Central,Nyandarua,MOA,AgroMOA,,1973,Maize,7911,2.27,17996,5,1
Central,Nyandarua,MOA,AgroMOA,,1974,Maize,8632,1.27,10953,5,1
Central,Nyandarua,MOA,AgroMOA,,1975,Maize,5865,2.29,13420,5,1
Central,Nyandarua,MOA,AgroMOA,,1976,Maize,18626,3.14,58567,5,1
Central,Nyandarua,MOA,AgroMOA,,1977,Maize,16137,3.15,50882,5,1
Central,Nyandarua,MOA,AgroMOA,,1978,Maize,11000,2.25,24750,5,1
Central,Nyandarua,MOA,AgroMOA,,1979,Maize,12570,0.72,9050,5,1
Central,Nyandarua,MOA,AgroMOA,,1980,Maize,12553,0.72,9038,5,1
Central,Nyandarua,MOA,AgroMOA,,1981,Maize,13992,3.15,44075,5,1
Central,Nyandarua,MOA,AgroMOA,,1982,Maize,12703,1.08,13703,5,1
Central,Nyandarua,MOA,AgroMOA,,1983,Maize,15596,1.8,28072,5,1
Central,Nyandarua,MOA,AgroMOA,,1984,Maize,18817,0.9,16935,5,1
Central,Nyandarua,MOA,AgroMOA,,1985,Maize,19816,1.3,25808,5,1
Central,Nyandarua,MOA,AgroMOA,,1986,Maize,20350,2.52,51282,5,1
Central,Nyandarua,MOA,AgroMOA,,1987,Maize,17800,0.65,11570,5,1
Central,Nyandarua,MOA,AgroMOA,,1988,Maize,18640,3.5,65240,5,1
Central,Nyandarua,MOA,AgroMOA,,1989,Maize,19520,2.7,52704,5,1
Central,Nyandarua,MOA,AgroMOA,,1990,Maize,20010,1.6,32010,5,1
Central,Nyandarua,MOA,AgroMOA,,1991,Maize,19700,1.8,35460,5,1
Central,Nyandarua,MOA,AgroMOA,,1992,Maize,21500,1.98,42570,5,1
Central,Nyandarua,MOA,AgroMOA,,1993,Maize,22224,0.9,20001.6,5,1
Central,Nyandarua,MOA,AgroMOA,,1995,Maize,18144,1.7,30843.99,5,1
Central,Nyandarua,MOALP,AgroMOALP,,1997,Maize,17194,1.35,23211.9,5,1
Central,Nyandarua,MOALP,AgroMOALP,,1998,Maize,14420,1.6,23068.8,5,1
Central,Nyandarua,MOALP,AgroMOALP,,1999,Maize,14000,0.9,12600,5,1
Central,Nyandarua,MOALP,AgroMOALP,,2000,Maize,14360,0.72,10339.2,5,1
Central,Nyandarua,MOALP,AgroMOALP,,2001,Maize,15490,1.77,27414,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2002,Maize,14950,1.44,21530,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2003,Maize,14550,1.8,26190,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2004,Maize,14000,0.9,12601,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2005,Maize,15590,1.84,28713,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2006,Maize,14300,1.35,19307,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2007,Maize,20900,1.33,27822.6,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2008,Maize,14031,0.64,8965.81,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2009,Maize,10055,1.66,16707.6,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2010,Maize,10005,2.18,21775.05,5,1
Central,Nyandarua,MoALF,Spreadsheet,,2011,Maize,10855,3.06,33250.5,5,1
Central,Nyandarua,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,19588,2.16,42310.08,5,1
Central,Nyandarua,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,10490,2.3,24168.96,5,1
Central,Nyandarua,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,10366,1.94,20151.5,5,1
Central,Nyeri,MOA,AgroMOA,,1970,Maize,13403,2.7,36188,6,1
Central,Nyeri,MOA,AgroMOA,,1971,Maize,16929,2.7,45708,6,1
Central,Nyeri,MOA,AgroMOA,,1972,Maize,21961,2.52,55295,6,1
Central,Nyeri,MOA,AgroMOA,,1973,Maize,24884,2.7,67187,6,1
Central,Nyeri,MOA,AgroMOA,,1974,Maize,22680,2.35,53199,6,1
Central,Nyeri,MOA,AgroMOA,,1975,Maize,19511,2.88,56180,6,1
Central,Nyeri,MOA,AgroMOA,,1976,Maize,14933,2.64,39350,6,1
Central,Nyeri,MOA,AgroMOA,,1977,Maize,15329,2.25,34490,6,1
Central,Nyeri,MOA,AgroMOA,,1978,Maize,17580,2.02,35480,6,1
Central,Nyeri,MOA,AgroMOA,,1979,Maize,15934,1.72,27442,6,1
Central,Nyeri,MOA,AgroMOA,,1980,Maize,13202,2.5,33000,6,1
Central,Nyeri,MOA,AgroMOA,,1981,Maize,15518,1.69,26296,6,1
Central,Nyeri,MOA,AgroMOA,,1982,Maize,23895,1.8,43011,6,1
Central,Nyeri,MOA,AgroMOA,,1983,Maize,25556,1.69,43295,6,1
Central,Nyeri,MOA,AgroMOA,,1984,Maize,20180,1.14,23056,6,1
Central,Nyeri,MOA,AgroMOA,,1985,Maize,21332,1.35,28798,6,1
Central,Nyeri,MOA,AgroMOA,,1986,Maize,23973,1.47,35135,6,1
Central,Nyeri,MOA,AgroMOA,,1987,Maize,22742,0.94,21380,6,1
Central,Nyeri,MOA,AgroMOA,,1988,Maize,21483,1.61,34655,6,1
Central,Nyeri,MOA,AgroMOA,,1989,Maize,19565,1.4,27397,6,1
Central,Nyeri,MOA,AgroMOA,,1990,Maize,22100,1.5,33150,6,1
Central,Nyeri,MOA,AgroMOA,,1992,Maize,21200,1.32,27882,6,1
Central,Nyeri,MOA,AgroMOA,,1995,Maize,21690,1.3,28104.21,6,1
Central,Nyeri,MOALP,AgroMOALP,,1997,Maize,21500,1.26,27090,6,1
Central,Nyeri,MOALP,AgroMOALP,,1998,Maize,21950,0.65,14309.1,6,1
Central,Nyeri,MOALP,AgroMOALP,,1999,Maize,22750,0.38,8635.5,6,1
Central,Nyeri,MOALP,AgroMOALP,,2000,Maize,23800,0.47,11151,6,1
Central,Nyeri,MOALP,AgroMOALP,,2001,Maize,23700,0.59,13896,6,1
Central,Nyeri,MoALF,Spreadsheet,,2002,Maize,22300,1.08,24086,6,1
Central,Nyeri,MoALF,Spreadsheet,,2003,Maize,24475,1.08,26370,6,1
Central,Nyeri,MoALF,Spreadsheet,,2004,Maize,22750,0.38,8636,6,1
Central,Nyeri,MoALF,Spreadsheet,,2005,Maize,26076,0.65,16873,6,1
Central,Nyeri,MoALF,Spreadsheet,,2006,Maize,27947,0.97,27003,6,1
Central,Nyeri,MoALF,Spreadsheet,,2007,Maize,38075,1.73,65875,6,1
Central,Nyeri,MoALF,Spreadsheet,,2008,Maize,18835,1.43,26993.7,6,1
Central,Nyeri,MoALF,Spreadsheet,,2009,Maize,20124,1.18,23734.8,6,1
Central,Nyeri,MoALF,Spreadsheet,,2010,Maize,32272,0.9,28991.88,6,1
Central,Nyeri,MoALF,Spreadsheet,,2011,Maize,35433,0.88,31140.14,6,1
Central,Nyeri,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,33593,1.26,42327.18,6,1
Central,Nyeri,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,61416,1.29,79042.39,6,1
Central,Nyeri,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,61543,1.18,72559.2,6,1
Coast,Kwale,MOA,AgroMOA,,1971,Maize,3566,0.45,1605,8,0
Coast,Kwale,MOA,AgroMOA,,1972,Maize,5000,0.54,2700,8,0
Coast,Kwale,MOA,AgroMOA,,1976,Maize,6995,1.5,10500,8,0
Coast,Kwale,MOA,AgroMOA,,1977,Maize,13575,1.5,20370,8,0
Coast,Kwale,MOA,AgroMOA,,1978,Maize,7871,1.5,11805,8,0
Coast,Kwale,MOA,AgroMOA,,1979,Maize,1977,0.72,1423,8,0
Coast,Kwale,MOA,AgroMOA,,1980,Maize,7842,1.09,8562,8,0
Coast,Kwale,MOA,AgroMOA,,1981,Maize,11575,1.81,20934,8,0
Coast,Kwale,MOA,AgroMOA,,1982,Maize,11557,0.72,8321,8,0
Coast,Kwale,MOA,AgroMOA,,1983,Maize,13656,0.72,9832,8,0
Coast,Kwale,MOA,AgroMOA,,1984,Maize,28198,0.87,24558,8,0
Coast,Kwale,MOA,AgroMOA,,1985,Maize,20600,1.8,37080,8,0
Coast,Kwale,MOA,AgroMOA,,1986,Maize,19263,1.55,29858,8,0
Coast,Kwale,MOA,AgroMOA,,1987,Maize,18610,0.6,11167,8,0
Coast,Kwale,MOA,AgroMOA,,1988,Maize,11233,1.5,16850,8,0
Coast,Kwale,MOA,AgroMOA,,1989,Maize,22254,1.99,44395,8,0
Coast,Kwale,MOA,AgroMOA,,1990,Maize,16800,2.67,44869,8,0
Coast,Kwale,MOA,AgroMOA,,1992,Maize,12848,1.34,17233.83,8,0
Coast,Kwale,MOA,AgroMOA,,1993,Maize,8584,0.88,7529.94,8,0
Coast,Kwale,MOA,AgroMOA,,1994,Maize,11323,0.77,8748,8,0
Coast,Kwale,MOALP,AgroMOALP,,1997,Maize,14800,1.12,16579.44,8,0
Coast,Kwale,MOALP,AgroMOALP,,1998,Maize,6648,1.48,9850.05,8,0
Coast,Kwale,MOALP,AgroMOALP,,1999,Maize,10062,0.99,9961.29,8,0
Coast,Kwale,MOALP,AgroMOALP,,2000,Maize,14639,1.1,16075.71,8,0
Coast,Kwale,MOALP,AgroMOALP,,2001,Maize,10763,0.99,10655.82,8,0
Coast,Kwale,MoALF,Spreadsheet,,2002,Maize,11260,0.81,9121.51,8,0
Coast,Kwale,MoALF,Spreadsheet,,2003,Maize,10839.4,0.72,7760.8,8,0
Coast,Kwale,MoALF,Spreadsheet,,2004,Maize,10062,0.99,9962.29,8,0
Coast,Kwale,MoALF,Spreadsheet,,2005,Maize,14146.9,0.52,7365.62,8,0
Coast,Kwale,MoALF,Spreadsheet,,2006,Maize,13203,0.74,9791.54,8,0
Coast,Kwale,MoALF,Spreadsheet,,2007,Maize,8233,0.6,4939.8,8,0
Coast,Kwale,MoALF,Spreadsheet,,2008,Maize,11296.86,1.49,16856.05,8,0
Coast,Kwale,MoALF,Spreadsheet,,2009,Maize,31315,1.43,44912.79,8,0
Coast,Kwale,MoALF,Spreadsheet,,2010,Maize,42443,1.12,47638.44,8,0
Coast,Kwale,MoALF,Spreadsheet,,2011,Maize,52242,1.05,54732.83,8,0
Coast,Kwale,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,39490,0.45,17770.5,8,0
Coast,Kwale,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,39910,0.44,17600.31,8,0
Coast,Kwale,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,34644,1.22,42092.46,8,0
Coast,Lamu,MOA,AgroMOA,,1972,Maize,1469,0.45,661,9,0
Coast,Lamu,MOA,AgroMOA,,1973,Maize,936,0.45,421,9,0
Coast,Lamu,MOA,AgroMOA,,1976,Maize,2201,1.5,3300,9,0
Coast,Lamu,MOA,AgroMOA,,1977,Maize,2514,1.18,2956,9,0
Coast,Lamu,MOA,AgroMOA,,1978,Maize,1798,1.5,2700,9,0
Coast,Lamu,MOA,AgroMOA,,1979,Maize,2053,1.63,3350,9,0
Coast,Lamu,MOA,AgroMOA,,1980,Maize,1591,1.68,2665,9,0
Coast,Lamu,MOA,AgroMOA,,1981,Maize,1790,1.8,3218,9,0
Coast,Lamu,MOA,AgroMOA,,1982,Maize,2960,1.09,3228,9,0
Coast,Lamu,MOA,AgroMOA,,1983,Maize,1412,1.41,1987,9,0
Coast,Lamu,MOA,AgroMOA,,1984,Maize,1520,1.2,1824,9,0
Coast,Lamu,MOA,AgroMOA,,1985,Maize,1687,1.2,2024,9,0
Coast,Lamu,MOA,AgroMOA,,1986,Maize,1819,1.48,2686,9,0
Coast,Lamu,MOA,AgroMOA,,1987,Maize,1450,1.1,1595,9,0
Coast,Lamu,MOA,AgroMOA,,1988,Maize,1620,1.25,2025,9,0
Coast,Lamu,MOA,AgroMOA,,1989,Maize,1641,1.17,1924,9,0
Coast,Lamu,MOA,AgroMOA,,1990,Maize,1547,1.03,1598,9,0
Coast,Lamu,MOA,AgroMOA,,1992,Maize,2157,1.17,2513.07,9,0
Coast,Lamu,MOALP,AgroMOALP,,1996,Maize,3192,0.61,1953,9,0
Coast,Lamu,MOALP,AgroMOALP,,1997,Maize,3484,1,3469.77,9,0
Coast,Lamu,MOALP,AgroMOALP,,1998,Maize,2480,1.17,2911.5,9,0
Coast,Lamu,MOALP,AgroMOALP,,1999,Maize,4604,0.99,4558.77,9,0
Coast,Lamu,MOALP,AgroMOALP,,2000,Maize,6367,0.99,6304.05,9,0
Coast,Lamu,MOALP,AgroMOALP,,2001,Maize,5297,0.99,5244.03,9,0
Coast,Lamu,MoALF,Spreadsheet,,2002,Maize,5133,0.81,4158.51,9,0
Coast,Lamu,MoALF,Spreadsheet,,2003,Maize,5161,0.58,3006.48,9,0
Coast,Lamu,MoALF,Spreadsheet,,2004,Maize,4604,0.99,4559.23,9,0
Coast,Lamu,MoALF,Spreadsheet,,2005,Maize,6901,1.25,8648.33,9,0
Coast,Lamu,MoALF,Spreadsheet,,2006,Maize,9425,1.08,10180.02,9,0
Coast,Lamu,MoALF,Spreadsheet,,2007,Maize,7140,1.28,9139.2,9,0
Coast,Lamu,MoALF,Spreadsheet,,2008,Maize,6646.2,1.55,10301.61,9,0
Coast,Lamu,MoALF,Spreadsheet,,2009,Maize,16039,1.53,24539.67,9,0
Coast,Lamu,MoALF,Spreadsheet,,2010,Maize,12659,1.93,24431.87,9,0
Coast,Lamu,MoALF,Spreadsheet,,2011,Maize,21161.8,0.8,16945,9,0
Coast,Lamu,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2012,Maize,20127,1.08,21737.16,9,0
Coast,Lamu,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2013,Maize,21324,1.75,37231.7,9,0
Coast,Lamu,"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,2014,Maize,35261,1.12,39351.28,9,0
Coast,Mombasa,MOA,AgroMOA,,1976,Maize,930,0.9,837,10,0
Coast,Mombasa,MOA,AgroMOA,,1977,Maize,900,0.9,810,10,0
Coast,Mombasa,MOA,AgroMOA,,1978,Maize,620,0.9,558,10,0
Coast,Mombasa,MOA,AgroMOA,,1979,Maize,500,0.9,450,10,0
Coast,Mombasa,MOA,AgroMOA,,1980,Maize,540,0.9,486,10,0
Coast,Mombasa,MOA,AgroMOA,,1981,Maize,1020,0.9,918,10,0
Coast,Mombasa,MOA,AgroMOA,,1982,Maize,1000,0.7,700,10,0
Coast,Mombasa,MOA,AgroMOA,,1983,Maize,1020,0.8,816,10,0
Coast,Mombasa,MOA,AgroMOA,,1984,Maize,1480,1.3,1924,10,0
Coast,Mombasa,MOA,AgroMOA,,1985,Maize,800,1.1,880,10,0
Coast,Mombasa,MOA,AgroMOA,,1986,Maize,700,1,700,10,0
Coast,Mombasa,MOA,AgroMOA,,1987,Maize,630,0.94,592,10,0
Coast,Mombasa,MOA,AgroMOA,,1988,Maize,847,1.18,999,10,0
Coast,Mombasa,MOA,AgroMOA,,1989,Maize,661,1.22,808,10,0
Coast,Mombasa,MOA,AgroMOA,,1990,Maize,700,1.07,749,10,0
Coast,Mombasa,MOA,AgroMOA,,1992,Maize,700,0.98,682.92,10,0
Coast,Mombasa,MOA,AgroMOA,,1993,Maize,703,0.57,397.89,10,0
Coast,Mombasa,MOALP,AgroMOALP,,1997,Maize,459,1.19,545.94,10,0
Coast,Mombasa,MOALP,AgroMOALP,,1998,Maize,183,1.68,308.34,10,0
Coast,Mombasa,MOALP,AgroMOALP,,1999,Maize,171,0.99,168.48,10,0
Coast,Mombasa,MOALP,AgroMOALP,,2000,Maize,592,0.99,586.71,10,0
Coast,Mombasa,MOALP,AgroMOALP,,2001,Maize,729,0.99,721.71,10,0
Coast,Mombasa,MoALF,Spreadsheet,,2002,Maize,516,0.81,418,10,0
