code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51351;2.3;2;1.9;1;0;0.5;1.3;2.2;2.2;2.5;2.7;1.6;0.1;0.1;0.8;1.8;2;2.6;2.4;1.6;1.2;0.6;1.9;3;2.6;3.1;2.2;2.2;1.1;2.5;3.1;2.2;2.2;2.5;2.4;1.6;1.6
51352;0.1;1.1;1.9;2;2;2.1;1.9;0.6;0.2;0.7;1.7;2.4;2.5;2.5;2;1.6;0.8;0.7;1.9;2.5;2.8;2.8;2.1;1.4;1.2;2.4;3;2.7;2.7;2.5;2.2;1.9;2.4;2.2;1.9;2.2;2.5
51354;1.4;0;0;0.6;2.1;2.1;1.7;2.4;2.1;2.3;0;0.1;1.3;2;2.1;2.6;2.4;1.6;0.8;0.2;2.4;3.3;2.6;3;2.2;2.6;1;2.6;3.1;2.4;2.2;2.5;2.7;1.3;2.2;1.4;1.5
51359;1.7;1;0;0;1.6;2.6;1.8;1.3;3.2;2.3;0;0.4;0.6;1.8;2.9;2.3;2.5;2;2;0;1.5;2.3;2.6;3.9;2.7;2;0.6;1.8;2.5;3.3;2;2.9;2;2.7;1.8;2;1.7
51361;1.5;1;0.4;0.3;1.3;2.1;1.7;2.1;2.4;1.9;0.6;0.3;0.9;1.6;2;2.3;2.6;2.2;1.7;0.9;1.3;2;2.6;2.8;2.5;2.3;1.9;2.1;2.8;2.6;2.6;2.3;2.8;2.4;2.2;2.1;1.5
51363;0.1;1.5;2;1.8;1.9;2.2;0.9;0;0.6;1.3;2.1;2.2;3;2.2;2.1;1.2;0.5;0.9;2.1;2.6;2.7;2.2;2.5;1.1;1.8;2.9;2.7;3.1;2.4;2.8;1.9;2.4;2.7;2.1;2;2.3;2.3
51364;0.5;0.2;1.1;1.9;2;1.7;2.2;1.4;0.4;0.3;1;1.7;2.3;2.5;2.6;2.1;1.8;1.1;1;2.2;2.6;2.9;2.5;2.3;1.8;1.7;2.6;2.8;2.8;2.5;2.4;2.5;2.3;2.3;1.9;2;2.1
51377;1.1;0;0;1.3;1.7;2;1.4;2.2;1.9;0.8;0.2;0.4;1.5;2.2;2.1;2.5;2.1;2;0.5;0.5;2.4;3;2.9;3.1;2.5;1.1;1.4;2.6;2.8;2.6;2.4;2.7;2.3;2;2.4;1.3;1.6
51380;2.6;1.9;1.7;0.8;0;0.7;1.5;2.1;2.4;2.3;2.5;1.7;0.2;0.2;0.7;2;2.4;3;2.6;1.9;0.9;0.5;2.4;3;2.5;3;2.5;1.7;1.4;2.6;3.1;2.5;2.2;2.7;2.4;2;1.7
51384;1.5;0;0;0.8;2.1;1.9;1.3;2.1;2.4;1.5;0;0.5;1.2;2.1;2.4;2.9;2.3;1.7;0.5;0.2;2.6;2.9;2.5;3.2;2.5;1.9;1.2;2.5;3.1;2.3;1.8;2.9;2.2;1.5;2.3;1.2;1.5
51388;2.2;1.4;0.7;0;0.3;1.8;1.5;2.1;2.3;2.2;2.2;0.3;0.4;0.3;2;2.2;2.5;2.7;2.4;1.4;0.2;1.5;3.1;3.1;3;3;2;1;2.5;3;3;2.1;2.6;2.7;1.7;2.2;1.3
51389;0.7;0;0.5;2;2.1;2.2;1.8;2.4;0.9;0.1;0.5;1;2;2.7;2.4;2.4;1.8;1.6;0.3;1.7;2.6;2.7;3.3;2.5;1.9;0.8;2.2;2.9;2.8;2.1;3;2.2;2;2.1;2;1.6;1.8
51392;0.3;1.2;1.7;2.1;2.1;2;1.5;0.6;0.3;0.8;1.3;2.2;2.4;2.3;2.3;1.3;0.6;0.8;1.8;2.7;2.7;2.9;2.3;1.2;1.2;2.1;2.9;2.8;2.7;2.6;2;2;2.3;2;1.8;2;2.5
51394;0.5;0;1;1.8;2.1;1.8;1.8;1.9;0.1;0.1;0.6;1.2;2.3;2.7;2.2;2.5;1.8;0.7;0.2;1.8;2.9;2.8;3;3;1.2;1.1;2.3;2.9;2.9;2.1;2.9;2.3;1.4;2.2;1.8;1.9;1.7
